Ticker,Date,Security Name,Price,Shares,Net Foreign,Sector Type
ALI,3/1/2024,Ayala Land Inc.,PHP34.25,4650000.00,USD986013.90,Property|Property
BPI,3/1/2024,Bank of the Philippine Islands,PHP103.50,940006.00,USD-576261.96.00,Financial|Banks
JFC,3/1/2024,Jollibee Foods Corporation,PHP254.60,657440.00,USD430201.80,Industrial|Food Beverage & Tobacco
ALI,4/1/2024,Ayala Land Inc.,PHP34.80,11700000.00,USD3211059.30,Property|Property
BPI,4/1/2024,Bank of the Philippine Islands,PHP104.00,4030000.00,USD1169253.99,Financial|Banks
JFC,4/1/2024,Jollibee Foods Corporation,PHP256.00,744003.00,USD1255024.80,Industrial|Food Beverage & Tobacco
ALI,5/1/2024,Ayala Land Inc.,PHP34.30,16680000.00,USD100991.40,Property|Property
BPI,5/1/2024,Bank of the Philippine Islands,PHP104.50,1053000.00,USD-720381.36,Financial|Banks
JFC,5/1/2024,Jollibee Foods Corporation,PHP258.00,773006.00,USD1578484.80,Industrial|Food Beverage & Tobacco
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<Published as of 1/5/2024<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
